date,open,high,low,close,Adj Close,Volume
2025-01-29 00:00:00-5:00,3076.104736,3181.804443,3054.017822,3113.956299,3113.956299,170126.1094
2025-01-30 00:00:00-5:00,3114.048584,3283.414063,3091.211182,3247.528809,3247.528809,138096.2813
2025-01-31 00:00:00-5:00,3247.415039,3438.785889,3213.582764,3299.871338,3299.871338,212863.4531
2025-02-03 00:00:00-5:00,2869.381348,2923.965088,2143.718994,2883.461182,2883.461182,934711.375
2025-02-04 00:00:00-5:00,2882.967773,2891.591553,2633.770996,2732.170166,2732.170166,459107.6875
2025-02-05 00:00:00-5:00,2732.21167,2827.727539,2699.708008,2788.404053,2788.404053,252192.7656
2025-02-06 00:00:00-5:00,2788.811279,2858.613525,2656.595947,2687.467285,2687.467285,230020.875
2025-02-07 00:00:00-5:00,2687.420166,2799.366943,2563.340088,2623.248291,2623.248291,230243.875
2025-02-10 00:00:00-5:00,2627.915283,2694.399414,2560.661865,2661.881836,2661.881836,137275.2188
2025-02-11 00:00:00-5:00,2661.986084,2725.712646,2560.696777,2602.272705,2602.272705,162070.5156
2025-02-12 00:00:00-5:00,2602.037598,2796.589844,2548.206787,2738.487549,2738.487549,197902.5313
2025-02-13 00:00:00-5:00,2739.355713,2758.263184,2613.720947,2676.266846,2676.266846,174211.0469
2025-02-14 00:00:00-5:00,2676.615234,2792.986328,2665.084717,2726.221191,2726.221191,161714.8281
2025-02-18 00:00:00-5:00,2744.174561,2756.487549,2604.827148,2670.654785,2670.654785,171767.2969
2025-02-19 00:00:00-5:00,2670.612061,2736.262451,2654.878174,2715.365723,2715.365723,124665.3359
2025-02-20 00:00:00-5:00,2715.414063,2771.604492,2707.398193,2738.80249,2738.80249,107447.6797
2025-02-21 00:00:00-5:00,2738.767822,2846.296387,2614.223145,2661.574219,2661.574219,353659.7188
2025-02-24 00:00:00-5:00,2820.12085,2840.048828,2472.032715,2514.019043,2514.019043,278091.0625
2025-02-25 00:00:00-5:00,2513.894043,2531.470703,2320.97168,2492.956787,2492.956787,495773.6875
2025-02-26 00:00:00-5:00,2492.881592,2504.36377,2251.613037,2333.201172,2333.201172,270436.5625
2025-02-27 00:00:00-5:00,2333.533691,2379.602051,2228.020508,2305.439209,2305.439209,203005.2031
2025-02-28 00:00:00-5:00,2305.689941,2312.210449,2073.902832,2236.643799,2236.643799,433861.0938
2025-03-03 00:00:00-5:00,2518.775146,2523.956787,2094.655762,2147.775879,2147.775879,380173.7188
2025-03-04 00:00:00-5:00,2147.675781,2222.137695,1991.166382,2171.004395,2171.004395,528682.625
2025-03-05 00:00:00-5:00,2170.945313,2273.237549,2154.843262,2241.669678,2241.669678,205076.4688
2025-03-06 00:00:00-5:00,2241.656006,2320.050537,2176.253906,2202.48291,2202.48291,186608.3906
2025-03-07 00:00:00-5:00,2202.302246,2258.027588,2102.452637,2140.85376,2140.85376,304943.7813
2025-03-10 00:00:00-5:00,2020.134644,2151.883301,1809.773315,1864.052612,1864.052612,476323.9063
2025-03-11 00:00:00-5:00,1865.206543,1962.786377,1754.525757,1922.816528,1922.816528,421769.2813
2025-03-12 00:00:00-5:00,1922.911011,1956.084839,1829.668701,1907.93103,1907.93103,287720.3438
2025-03-13 00:00:00-5:00,1908.191528,1921.277832,1821.118774,1863.632324,1863.632324,218284.8125
2025-03-14 00:00:00-5:00,1863.741699,1945.737183,1857.589722,1911.567139,1911.567139,129250.0078
2025-03-17 00:00:00-5:00,1886.982422,1952.129028,1879.92041,1926.560181,1926.560181,103506.7813
2025-03-18 00:00:00-5:00,1926.299072,1935.655396,1871.891602,1931.470093,1931.470093,119354.0313
2025-03-19 00:00:00-5:00,1931.341797,2070.574707,1927.816284,2057.167725,2057.167725,243176.3906
2025-03-20 00:00:00-5:00,2057.265625,2068.585693,1951.473633,1982.796387,1982.796387,152224.8438
2025-03-21 00:00:00-5:00,1982.500366,1995.287842,1936.137817,1964.982788,1964.982788,104631.9531
2025-03-24 00:00:00-5:00,2005.99939,2104.131104,1977.66626,2081.676514,2081.676514,177558.8125
2025-03-25 00:00:00-5:00,2081.571533,2097.802246,2037.506592,2066.794678,2066.794678,104567.3125
2025-03-26 00:00:00-5:00,2066.725342,2079.253418,1981.611816,2009.670532,2009.670532,153964.0625
2025-03-27 00:00:00-5:00,2009.734375,2037.545898,1987.046875,2003.200073,2003.200073,112404.4609
2025-03-28 00:00:00-5:00,2003.176147,2015.733887,1860.51123,1896.289917,1896.289917,294133.9375
2025-03-31 00:00:00-5:00,1807.735474,1853.994141,1776.875977,1822.209473,1822.209473,198621.1094
2025-04-01 00:00:00-5:00,1821.802612,1927.963257,1817.914063,1905.30188,1905.30188,205494.9375
2025-04-02 00:00:00-5:00,1904.961182,1956.148438,1781.328857,1794.595215,1794.595215,329188.8125
2025-04-03 00:00:00-5:00,1794.764038,1844.658813,1749.964722,1816.261719,1816.261719,235046.875
2025-04-04 00:00:00-5:00,1816.391357,1835.255493,1758.535278,1816.290894,1816.290894,271477.1563
2025-04-07 00:00:00-5:00,1579.843994,1638.397339,1410.983765,1552.418213,1552.418213,884441.375
2025-04-08 00:00:00-5:00,1552.324341,1618.158325,1444.121826,1472.078125,1472.078125,350819.1563
2025-04-09 00:00:00-5:00,1472.30957,1677.856689,1383.723389,1658.854858,1658.854858,547064.6875
2025-04-10 00:00:00-5:00,1669.155029,1669.449097,1471.969727,1521.498901,1521.498901,329818.4375
2025-04-11 00:00:00-5:00,1521.082764,1590.600586,1504.126953,1566.18042,1566.18042,191379.25
2025-04-14 00:00:00-5:00,1597.018555,1690.852661,1595.202148,1623.846313,1623.846313,169345.25
2025-04-15 00:00:00-5:00,1623.607666,1660.805786,1583.300659,1588.683716,1588.683716,144694.0781
2025-04-16 00:00:00-5:00,1588.164917,1613.194458,1538.3125,1577.273193,1577.273193,161820.7813
2025-04-17 00:00:00-5:00,1577.308228,1616.831543,1562.700317,1583.555908,1583.555908,119190.3516
2025-04-21 00:00:00-5:00,1587.361084,1658.2948,1563.244385,1579.592529,1579.592529,178979.8594
2025-04-22 00:00:00-5:00,1579.513062,1778.667969,1538.896729,1756.921753,1756.921753,399776.3125
2025-04-23 00:00:00-5:00,1757.081055,1835.450684,1746.048096,1795.896606,1795.896606,329580.1563
2025-04-24 00:00:00-5:00,1795.761108,1803.205688,1723.172241,1770.335083,1770.335083,194293
2025-04-25 00:00:00-5:00,1770.36792,1828.683105,1740.02356,1785.971558,1785.971558,235381.6094
2025-04-28 00:00:00-5:00,1791.883545,1828.81958,1745.137329,1800.197266,1800.197266,244586
2025-04-29 00:00:00-5:00,1800.417847,1843.234497,1780.821167,1798.431152,1798.431152,174221.7031
2025-04-30 00:00:00-5:00,1798.305298,1817.382446,1732.668335,1793.882324,1793.882324,157835.6719
2025-05-01 00:00:00-5:00,1793.995239,1874.310669,1792.79187,1838.939819,1838.939819,169108.7031
2025-05-02 00:00:00-5:00,1838.694702,1871.578857,1813.578735,1842.951538,1842.951538,118204.7109
2025-05-05 00:00:00-5:00,1809.152466,1833.612671,1782.150269,1820.414429,1820.414429,103634.4219
2025-05-06 00:00:00-5:00,1820.340454,1820.758301,1751.812256,1817.094482,1817.094482,111208.0625
2025-05-07 00:00:00-5:00,1817.07666,1850.77124,1787.291016,1811.403809,1811.403809,168704.4844
2025-05-08 00:00:00-5:00,1811.423584,2225.491455,1808.779907,2207.260986,2207.260986,410495.4063
2025-05-09 00:00:00-5:00,2206.900146,2490.464111,2184.616943,2345.283691,2345.283691,448386.4375
2025-05-12 00:00:00-5:00,2514.717285,2624.649658,2407.684814,2495.811035,2495.811035,307011.5625
2025-05-13 00:00:00-5:00,2495.607422,2738.221436,2416.243652,2679.94751,2679.94751,276218.375
2025-05-14 00:00:00-5:00,2679.851318,2724.857666,2548.000244,2601.280029,2601.280029,209226.625
