date,open,high,low,close,Adj Close,Volume,,
2020-05-18 00:00:00-5:00,9679.901367,9951.391602,9454.117188,9732.883789,9732.883789,101451.6406,,
2020-05-19 00:00:00-5:00,9732.969727,9897.327148,9472.148438,9776.651367,9776.651367,95309.64844,,
2020-05-20 00:00:00-5:00,9776.833008,9841.282227,9319.808594,9511.033203,9511.033203,93481.96875,,
2020-05-21 00:00:00-5:00,9510.990234,9576.592773,8811.741211,9067.180664,9067.180664,139201.2656,,
2020-05-22 00:00:00-5:00,9065.81543,9270.764648,8931.569336,9169.759766,9169.759766,73822.46875,,
2020-05-26 00:00:00-5:00,8900.255859,9017.476563,8698.524414,8841.720703,8841.720703,70840.97656,,
2020-05-27 00:00:00-5:00,8841.483398,9225.911133,8811.693359,9204.737305,9204.737305,81278.90625,,
2020-05-28 00:00:00-5:00,9204.851563,9625.371094,9110.370117,9576.592773,9576.592773,90166.60938,,
2020-05-29 00:00:00-5:00,9576.575195,9608.049805,9330.019531,9426.376953,9426.376953,68923.35156,,
2020-06-01 00:00:00-5:00,9447.68457,10391.05664,9420.114258,10202.80273,10202.80273,100110.5391,,
2020-06-02 00:00:00-5:00,10204.28613,10231.06348,9266.456055,9519.189453,9519.189453,144691.5156,,
2020-06-03 00:00:00-5:00,9518.74707,9691.017578,9367.102539,9666.783203,9666.783203,58436.23438,,
2020-06-04 00:00:00-5:00,9666.678711,9882.819336,9448.776367,9788.897461,9788.897461,71010.57813,,
2020-06-05 00:00:00-5:00,9789.018555,9854.902344,9582.067383,9619.452148,9619.452148,61326.09766,,
2020-06-08 00:00:00-5:00,9747.639648,9802.780273,9633.043945,9781.932617,9781.932617,49955.82422,,
2020-06-09 00:00:00-5:00,9781.96582,9879.820313,9568.108398,9774.02832,9774.02832,57391.26953,,
2020-06-10 00:00:00-5:00,9774.097656,9998.55957,9696.529297,9887.084961,9887.084961,61247.47266,,
2020-06-11 00:00:00-5:00,9887.364258,9971.831055,9098.393555,9277.488281,9277.488281,123402.2891,,
2020-06-12 00:00:00-5:00,9276.84375,9557.355469,9231.488281,9464.941406,9464.941406,61940.53125,,
2020-06-15 00:00:00-5:00,9339.618164,9496.262695,8907.144531,9425.848633,9425.848633,105811.2266,,
2020-06-16 00:00:00-5:00,9426.476563,9589.541992,9374.091797,9526.179688,9526.179688,63007.24219,,
2020-06-17 00:00:00-5:00,9526.847656,9564.301758,9235.041992,9464.291016,9464.291016,57535.24219,,
2020-06-18 00:00:00-5:00,9463.977539,9488.036133,9277.789063,9384.771484,9384.771484,44075.96484,,
2020-06-19 00:00:00-5:00,9384.734375,9437.324219,9217.849609,9308.694336,9308.694336,53629.14844,,
2020-06-22 00:00:00-5:00,9293.162109,9782.09375,9275.274414,9686.583008,9686.583008,69985.4375,,
2020-06-23 00:00:00-5:00,9686.527344,9720.758789,9576.216797,9624.65625,9624.65625,49396.80469,,
2020-06-24 00:00:00-5:00,9624.199219,9669.150391,9205.555664,9294.505859,9294.505859,75856.28906,,
2020-06-25 00:00:00-5:00,9295.766602,9343.285156,9003.473633,9248.260742,9248.260742,70113.375,,
2020-06-26 00:00:00-5:00,9248.251953,9296.821289,9041.178711,9160.939453,9160.939453,61643.88672,,
2020-06-29 00:00:00-5:00,9115.34082,9173.996094,9021.27832,9076.553711,9076.553711,31584.84961,,
2020-06-30 00:00:00-5:00,9182.297852,9190.195313,9076.557617,9137.380859,9137.380859,14600.41113,,
2020-07-01 00:00:00-5:00,9137.776367,9292.87207,9081.47168,9233.360352,9233.360352,46414.53125,,
2020-07-02 00:00:00-5:00,9233.461914,9262.566406,8939.608398,9087.522461,9087.522461,57021.69922,,
2020-07-06 00:00:00-5:00,9070.208008,9375.135742,9056.835938,9343.228516,9343.228516,64915.9375,,
2020-07-07 00:00:00-5:00,9342.607422,9379.405273,9202.525391,9256.833984,9256.833984,41183.29688,,
2020-07-08 00:00:00-5:00,9256.866211,9471.506836,9231.191406,9435.946289,9435.946289,66731.78125,,
2020-07-09 00:00:00-5:00,9435.958008,9441.844727,9158.194336,9233.150391,9233.150391,56963.59766,,
2020-07-10 00:00:00-5:00,9233.133789,9318.214844,9122.629883,9288.757813,9288.757813,45460.79297,,
2020-07-13 00:00:00-5:00,9303.335938,9343.323242,9198.396484,9241.611328,9241.611328,51850.19531,,
2020-07-14 00:00:00-5:00,9241.797852,9279.639648,9111.336914,9256.047852,9256.047852,54168.55859,,
2020-07-15 00:00:00-5:00,9256.172852,9276.155273,9159.875,9196.642578,9196.642578,47556.64453,,
2020-07-16 00:00:00-5:00,9197.110352,9224.602539,9039.226563,9133.939453,9133.939453,55468.85156,,
2020-07-17 00:00:00-5:00,9133.654297,9186.304688,9083.679688,9154.681641,9154.681641,35803.77734,,
2020-07-20 00:00:00-5:00,9209.848633,9222.157227,9131.895508,9161.479492,9161.479492,36930.10938,,
2020-07-21 00:00:00-5:00,9163.436523,9439.597656,9156.369141,9391.379883,9391.379883,75330.80469,,
2020-07-22 00:00:00-5:00,9391.490234,9554.407227,9266.580078,9523.787109,9523.787109,63776.33594,,
2020-07-23 00:00:00-5:00,9524.269531,9669.645508,9444.53418,9605.970703,9605.970703,70005.11719,,
2020-07-24 00:00:00-5:00,9605.504883,9639.845703,9466.249023,9541.910156,9541.910156,58060.11719,,
2020-07-27 00:00:00-5:00,9934.769531,11391.5332,9923.776367,11034.21191,11034.21191,250129.0625,,
2020-07-28 00:00:00-5:00,11034.53516,11245.6582,10585.0957,10913.91895,10913.91895,173499.0625,,
2020-07-29 00:00:00-5:00,10913.36719,11345.38281,10825.125,11095.98731,11095.98731,143719.2813,,
2020-07-30 00:00:00-5:00,11080.72363,11174.12305,10830.59668,11104.32715,11104.32715,111726.6641,,
2020-07-31 00:00:00-5:00,11103.8916,11409.19238,10964.42481,11316.71191,11316.71191,111312.8672,,
2020-08-03 00:00:00-5:00,11069.94531,11474.68652,10931.7959,11222.75586,11222.75586,75579.6875,,
2020-08-04 00:00:00-5:00,11222.2793,11415.49902,11001.17773,11192.47852,11192.47852,74568.10938,,
2020-08-05 00:00:00-5:00,11192.59863,11785.43945,11087.89258,11746.4834,11746.4834,98300.42188,,
2020-08-06 00:00:00-5:00,11747.0918,11903.31934,11566.11328,11764.79688,11764.79688,86280.17188,,
2020-08-07 00:00:00-5:00,11765.21973,11911.99219,11317.4707,11596.63184,11596.63184,95439.32031,,
2020-08-10 00:00:00-5:00,11682.61328,12070.87012,11453.92969,11888.62402,11888.62402,113677.8984,,
2020-08-11 00:00:00-5:00,11895.54102,11936.90137,11124.01856,11390.66113,11390.66113,119085.7422,,
2020-08-12 00:00:00-5:00,11390.88086,11618.55273,11145.34082,11565.65918,11565.65918,82879.15625,,
2020-08-13 00:00:00-5:00,11566.25391,11797.06934,11270.69336,11783.84766,11783.84766,91205.75,,
2020-08-14 00:00:00-5:00,11783.39844,11853.90332,11637.99414,11763.67285,11763.67285,78098.82813,,
2020-08-17 00:00:00-5:00,11913.72852,12473.7168,11762.26172,12287.44629,12287.44629,119837.5781,,
2020-08-18 00:00:00-5:00,12287.08984,12391.78711,11818.99316,11947.48438,11947.48438,102964.0781,,
2020-08-19 00:00:00-5:00,11947.81836,12021.37207,11562.74609,11756.55469,11756.55469,97830.41406,,
2020-08-20 00:00:00-5:00,11756.21973,11889.84961,11669.14258,11856.73535,11856.73535,58089.375,,
2020-08-21 00:00:00-5:00,11857.68359,11880.99805,11485.77148,11530.91113,11530.91113,86157.625,,
2020-08-24 00:00:00-5:00,11649.60938,11826.67676,11586.85547,11750.34082,11750.34082,73655.92188,,
2020-08-25 00:00:00-5:00,11750.02051,11768.53711,11117.24512,11321.16211,11321.16211,113003.7891,,
2020-08-26 00:00:00-5:00,11320.75,11534.11621,11244.71289,11461.6416,11461.6416,95600.55469,,
2020-08-27 00:00:00-5:00,11461.87695,11592.95703,11127.68164,11331.25098,11331.25098,100697.7344,,
2020-08-28 00:00:00-5:00,11331.58496,11544.52246,11279.34961,11528.99902,11528.99902,87384.69531,,
2020-08-31 00:00:00-5:00,11711.4209,11791.39356,11572.25,11651.51953,11651.51953,88369.72656,,
2020-09-01 00:00:00-5:00,11651.6582,12082.57324,11525.50488,11923.39551,11923.39551,117411.6406,,
2020-09-02 00:00:00-5:00,11922.66602,11954.85352,11174.34473,11390.13086,11390.13086,132294.7813,,
2020-09-03 00:00:00-5:00,11391.05664,11465.0752,9971.053711,10149.27832,10149.27832,158350.9219,,
2020-09-04 00:00:00-5:00,10188.76856,10630.68848,9920.297852,10455.40723,10455.40723,126750.4219,,
2020-09-08 00:00:00-5:00,10375.57813,10440.29981,9847.143555,10127.96289,10127.96289,96790.01563,,
2020-09-09 00:00:00-5:00,10127.22754,10344.75586,9982.517578,10220.88574,10220.88574,61871.92578,,
2020-09-10 00:00:00-5:00,10221.17773,10487.25,10101.91797,10338.76172,10338.76172,73547.19531,,
2020-09-11 00:00:00-5:00,10338.67773,10401.3877,10199.87598,10389.58301,10389.58301,53865.88672,,
2020-09-14 00:00:00-5:00,10333.40625,10752.74805,10221.14844,10673.8916,10673.8916,84967.30469,,
2020-09-15 00:00:00-5:00,10673.97168,10934.16406,10609.99512,10785.77246,10785.77246,80050.45313,,
2020-09-16 00:00:00-5:00,10785.7041,11094.68066,10662.58008,10955.35449,10955.35449,81351.03125,,
2020-09-17 00:00:00-5:00,10955.04492,11046.59277,10745.19141,10941.19043,10941.19043,67373.6875,,
2020-09-18 00:00:00-5:00,10941.33887,11039.39356,10813.33398,10934.92871,10934.92871,58453.77734,,
2020-09-21 00:00:00-5:00,10921.30664,10990.4209,10278.32422,10418.29004,10418.29004,92518.98438,,
2020-09-22 00:00:00-5:00,10417.9668,10574.39453,10354.3584,10530.69727,10530.69727,54641.91406,,
2020-09-23 00:00:00-5:00,10530.7959,10538.59473,10137.32227,10241.5332,10241.5332,64482.76172,,
2020-09-24 00:00:00-5:00,10241.96875,10797.45801,10192.57715,10737.63086,10737.63086,71238.80469,,
2020-09-25 00:00:00-5:00,10737.57617,10761.80566,10544.36231,10688.14063,10688.14063,60810.42578,,
2020-09-28 00:00:00-5:00,10776.21191,10953.0459,10627.13281,10697.10645,10697.10645,63349.73438,,
2020-09-29 00:00:00-5:00,10696.38965,10867.75879,10636.51172,10841.05957,10841.05957,52242.21094,,
2020-09-30 00:00:00-5:00,10841.01856,10849.52832,10662.11621,10777.56543,10777.56543,47731.03516,,
2020-10-01 00:00:00-5:00,10778.56641,10925.89453,10437.1543,10619.88477,10619.88477,80128.71875,,
2020-10-02 00:00:00-5:00,10619.41895,10666.49805,10373.35645,10571.74707,10571.74707,64437.62891,,
2020-10-05 00:00:00-5:00,10667.96777,10799.5957,10617.38477,10793.36816,10793.36816,42207.49609,,
2020-10-06 00:00:00-5:00,10793.625,10801.41992,10525.53613,10600.6084,10600.6084,59902.16016,,
2020-10-07 00:00:00-5:00,10600.39746,10682.52246,10546.96094,10667.87207,10667.87207,40891.51563,,
2020-10-08 00:00:00-5:00,10668.24023,10953.41895,10530.18164,10927.80762,10927.80762,67366.13281,,
2020-10-09 00:00:00-5:00,10927.38281,11108.68555,10830.98145,11052.64551,11052.64551,61604.16016,,
2020-10-12 00:00:00-5:00,11371.19043,11724.43066,11168.87793,11532.31543,11532.31543,71116.88281,,
